tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,11,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,70372
2021,11,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,52938
2021,11,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,69292
2021,11,Mikrotrans,JAK.36,Cilangkap - Cililitan,80759
2021,11,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,34484
2021,11,Mikrotrans,JAK.34,Rawamangun - Klender,71939
2021,11,Mikrotrans,JAK.33,Pulo Gadung - Kota,64400
2021,11,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,90627
2021,11,Mikrotrans,JAK.31,Blok M - Andara,73900
2021,11,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,160715
2021,11,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,137509
2021,11,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,75895
2021,11,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,59685
2021,11,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,48931
2021,11,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,57999
2021,11,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,94793
2021,11,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,21124
2021,11,Mikrotrans,JAK.21,Cililitan - Dwikora,77867
2021,11,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,63118
2021,11,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,109711
2021,11,Mikrotrans,JAK.18,Kalibata - Kuningan,41370
2021,11,Mikrotrans,JAK.17,Senen - Pulo Gadung ,59969
2021,11,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,96991
2021,11,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,146160
2021,11,Mikrotrans,JAK.14,Tanah Abang - Meruya,115672
2021,11,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,22307
2021,11,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,80723
2021,11,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,103410
2021,11,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,78124
2021,11,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,88319
2021,11,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,4008
2021,11,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,30703
2021,11,Mikrotrans,JAK.10,Tanah Abang - Kota ,59213
2021,11,Mikrotrans,JAK.09,Roxy Mas - Karet,31253
2021,11,Mikrotrans,JAK.08,Roxy - Benhil,48046
2021,11,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,66471
2021,11,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,73113
2021,11,Mikrotrans,JAK.05,Semper - Rorotan,73362
2021,11,Mikrotrans,JAK.04,Grogol - Tubagus Angke,55910
2021,11,Mikrotrans,JAK.03,Lebak Bulus - Andara,41216
2021,11,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,56746
2021,11,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,71927
2021,11,BRT,9,Pinang Ranti - Pluit,805724
2021,11,BRT,8,Lebak Bulus - Harmoni,512842
2021,11,BRT,7,Kampung Rambutan - Kampung Melayu,420738
2021,11,BRT,6,Ragunan - Dukuh Atas 2,435539
2021,11,BRT,5,Kampung Melayu - Ancol,487576
2021,11,BRT,4,Pulo Gadung 2 - Tosari,321515
2021,11,BRT,3,Kalideres - Pasar Baru,527539
2021,11,BRT,2,Pulo Gadung 1 - Harmoni,374586
2021,11,BRT,13,Ciledug - Tendean,305567
2021,11,BRT,12,Penjaringan - Sunter Bouleverd Barat,163317
2021,11,BRT,11,Pulo Gebang - Kampung Melayu,148930
2021,11,BRT,10,Tanjung Priok - PGC 2,421487
2021,11,BRT,1,Blok M - Kota,1073929
2021,11,Angkutan Umum Integrasi,9H,Cipedak - Blok M,20159
2021,11,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,22996
2021,11,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,87210
2021,11,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,9463
2021,11,Angkutan Umum Integrasi,8E,Bintaro - Blok M,19613
2021,11,Angkutan Umum Integrasi,8D,Joglo - Blok M,27154
2021,11,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,11,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,32337
2021,11,Angkutan Umum Integrasi,7D,Pancoran - TMII,27221
2021,11,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,87269
2021,11,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,88324
2021,11,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,11,Angkutan Umum Integrasi,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,608
2021,11,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,31447
2021,11,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,24756
2021,11,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,24583
2021,11,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,118725
2021,11,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,95933
2021,11,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,18105
2021,11,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,8999
2021,11,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,43945
2021,11,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,46314
2021,11,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,901
2021,11,Angkutan Umum Integrasi,3E ,Sentraland Cengkareng - Puri Kembangan,27894
2021,11,Angkutan Umum Integrasi,2Q,Gondangdia - Balai Kota,11567
2021,11,Angkutan Umum Integrasi,2P,Gondangdia - Senen,4653
2021,11,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,8995
2021,11,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,29556
2021,11,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,13565
2021,11,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,14060
2021,11,Angkutan Umum Integrasi,1M,Meruya - Blok M,22326
2021,11,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,50329
2021,11,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,11,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,78905
2021,11,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,16241
2021,11,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,40391
2021,11,Angkutan Umum Integrasi,1A,PIK - Balai Kota,82972
2021,11,Angkutan Umum Integrasi,12A,Pelabuhan Kaliadem - Kota,1463
2021,11,Angkutan Umum Integrasi,12B,Pluit - Senen,10187
2021,11,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,11353
2021,11,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,59155
2021,11,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,34498
2021,11,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,4
2021,11,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,3
