tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,12,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,43967
2021,12,Mikrotrans,JAK.85,Bintara - Cipinang Indah,40103
2021,12,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,59193
2021,12,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,70475
2021,12,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,77697
2021,12,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,62086
2021,12,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,58622
2021,12,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,86917
2021,12,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,104712
2021,12,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,69365
2021,12,Mikrotrans,JAK.64,Lenteng Agung - Aseli,66235
2021,12,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,47929
2021,12,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382
2021,12,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,81467
2021,12,Mikrotrans,JAK.58,Cilingcing - Rorotan,114592
2021,12,Mikrotrans,JAK.56,Grogol - Srengseng,60415
2021,12,Mikrotrans,JAK.54,Grogol - Benhil,57178
2021,12,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,68275
2021,12,Mikrotrans,JAK.52,Kalideres - Muara Angke,86276
2021,12,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,124003
2021,12,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,79329
2021,12,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,53972
2021,12,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,68695
2021,12,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,109328
2021,12,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,59932
2021,12,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,82948
2021,12,Mikrotrans,JAK.43,Tongtek - Cililitan,104353
2021,12,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,95485
2021,12,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,57059
2021,12,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,49918
2021,12,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,75170
2021,12,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,56049
2021,12,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,71809
2021,12,Mikrotrans,JAK.36,Cilangkap - Cililitan,88277
2021,12,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,37850
2021,12,Mikrotrans,JAK.34,Rawamangun - Klender,75763
2021,12,Mikrotrans,JAK.33,Pulo Gadung - Kota,64986
2021,12,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,96339
2021,12,Mikrotrans,JAK.31,Blok M - Andara,80726
2021,12,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,167782
2021,12,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,146329
2021,12,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,81435
2021,12,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,65717
2021,12,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,51285
2021,12,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,64243
2021,12,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,101816
2021,12,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,22786
2021,12,Mikrotrans,JAK.21,Cililitan - Dwikora,76970
2021,12,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,62477
2021,12,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,110771
2021,12,Mikrotrans,JAK.18,Kalibata - Kuningan,43349
2021,12,Mikrotrans,JAK.17,Senen - Pulo Gadung ,62285
2021,12,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,90254
2021,12,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,152585
2021,12,Mikrotrans,JAK.14,Tanah Abang - Meruya,125777
2021,12,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,24193
2021,12,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,78580
2021,12,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,106506
2021,12,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,70986
2021,12,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,87568
2021,12,Mikrotrans,JAK.10B,,4085
2021,12,Mikrotrans,JAK.10A,,33992
2021,12,Mikrotrans,JAK.10,Tanah Abang - Kota ,62581
2021,12,Mikrotrans,JAK.09,Roxy Mas - Karet,33555
2021,12,Mikrotrans,JAK.08,Roxy - Benhil,50409
2021,12,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,69904
2021,12,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,70907
2021,12,Mikrotrans,JAK.05,Semper - Rorotan,74100
2021,12,Mikrotrans,JAK.04,Grogol - Tubagus Angke,57870
2021,12,Mikrotrans,JAK.03,Lebak Bulus - Andara,43991
2021,12,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,59985
2021,12,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,75915
2021,12,BRT,9,Pinang Ranti - Pluit,819178
2021,12,BRT,8,Lebak Bulus - Harmoni,533221
2021,12,BRT,7,Kampung Rambutan - Kampung Melayu,402368
2021,12,BRT,6,Ragunan - Dukuh Atas 2,401232
2021,12,BRT,5,Kampung Melayu - Ancol,513138
2021,12,BRT,4,Pulo Gadung 2 - Tosari,319411
